Symbol,Name,Last_Sale,Net_Change,Percent_Change,Market_Cap,Country,IPO_Year,Volume,Sector,Industry

AAPL,Apple Inc. Common Stock,$142.55,0.99,0.699%,2471437817000.0,United States,1980.0,13006443,Technology,Computer Manufacturing

ACHV,Achieve Life Sciences Inc. Common Shares,$5.00,0.07,1.42%,48409275.0,United States,nan,7649,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances

A,Agilent Technologies Inc. Common Stock,$121.84,1.28,1.062%,36394589543.0,United States,1999.0,92940,Industrials,Electrical Products

AA,Alcoa Corporation Common Stock ,$41.44,-0.65,-1.544%,7643553548.0,nan,2016.0,1026743,Industrials,Metal Fabrications

AACG,ATA Creativity Global American Depositary Shares,$1.07,0.01,0.943%,33810489.0,China,2008.0,2702,Consumer Discretionary,Service to the Health Industry

AACIW,Armada Acquisition Corp. I Warrant,$0.20,-0.06,-23.077%,0.0,United States,2021.0,10107,Industrials,Consumer Electronics/Appliances

AADI,Aadi Bioscience Inc. Common Stock,$13.9935,0.5635,4.196%,293051499.0,United States,nan,13885,Health Care,Biotechnology: Pharmaceutical Preparations

AAIC,Arlington Asset Investment Corp Class A (new),$3.15,0.0,0.00%,93436913.0,United States,nan,731,Real Estate,Real Estate Investment Trusts

AAL,American Airlines Group Inc. Common Stock,$13.84,-0.04,-0.288%,8989285496.0,United States,nan,7148778,Consumer Discretionary,Air Freight/Delivery Services

AAMC,Altisource Asset Management Corp Com,$9.99,0.0,0.00%,20593496.0,United States,nan,77,Finance,Investment Managers

AAME,Atlantic American Corporation Common Stock,$2.57,0.0,0.00%,52437190.0,United States,nan,30,Finance,Life Insurance

AAN,Aarons Holdings Company Inc. Common Stock ,$14.6166,-0.7534,-4.902%,448858275.0,nan,2020.0,14288,Consumer Discretionary,Diversified Commercial Services

